RUBRO;SUB_RUBRO;MARCA;MARCA_APERNET_ID;SUCURSAL;SUCURSAL_APERNET_ID;CALLE;NRO;LOCALIDAD;LATITUD;LONGITUD;LOCALIDAD_ZONAL;LOCALIDAD_ZONA
Cuidado Personal;Centros de Estética;Figurella;116572;Belgrano;126605;JURAMENTO;2520;BELGRANO;-34,56285;-58,45788;CABA NORTE;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Microcentro;126608;FLORIDA;732;SAN NICOLAS;-34,59951;-58,37542;CABA SUR;CABA
Cuidado Personal;Centros de Estética;Figurella;116572;Caballito Moreno;126607;AV J M MORENO;40;CABALLITO;-34,61864;-58,4362;CABA OESTE;CABA
Moda;Indumentaria;Fiume;4289;Shopping Del Siglo;10783;Cordoba;1643;ROSARIO;-32,9451;-60,64577;INTERIOR;INTERIOR
Moda;Indumentaria;Fiume;4289;Portal Rosario;14871;Nansen;255;ROSARIO;0;0;INTERIOR;INTERIOR
Moda;Indumentaria;Fiume;4289;Abasto Shopping;12255;Av. Corrientes;3247;BALVANERA;-34,60404;-58,41099;CABA OESTE;CABA
Cuidado Personal;Centros de Estética;FLAVIA ALDAY SALUD & BELLEZA;116126;FLAVIA ALDAY SALUD & BELLEZA;126160;SANTA FE;373;NEUQUEN;-38,95107;-68,05613;INTERIOR;INTERIOR
Jugueterías;Jugueterías;FLIPPER JUGUETERIA Y GAMESTORE;116584;AVENIDA ARGENTINA;126596;AV ARGENTINA;195;NEUQUEN;-38,95372;-68,05916;INTERIOR;INTERIOR
Jugueterías;Jugueterías;FLIPPER JUGUETERIA Y GAMESTORE;116584;PASEO DE LA PATAGONIA SHOPPING CENTER;126597;Antártida Argentina;1111;NEUQUEN;-38,94653;-68,07638;INTERIOR;INTERIOR
Jugueterías;Jugueterías;FLIPPER JUGUETERIA Y GAMESTORE;116584;ALTO COMAHUE SHOPPING CENTER LOCAL 5;126598;Av. Dr. Ramón;439;NEUQUEN;-38,94145;-68,06788;INTERIOR;INTERIOR
Moda;Indumentaria;FOALS;115981;FOALS;126029;MINISTRO JOAQUIN V GONZALEZ;195;NEUQUEN;-38,95191;-68,0565;INTERIOR;INTERIOR
